Description,Commenting,Ogling,Groping
walk along crowd street hold mum hand elder man grope butt turn look h look away whilei yrs old,0,0,1
incid took place eveningi metro two guy start stare,0,1,0
wait bus man came bike offer liftvto young girl,1,0,0
incid happen insid train,0,0,0
wit incid chain brutal snatch elder ladi incid took place dure even,0,0,0
one day walk jorpati saw boy tri take pictur girl n girl didnt know n itel abt repot polish nearbi jorpati,0,0,0
heard indec peopl make indec comment,0,0,0
enter subway dark decid go back sudden man came amp hold hand amp forc go subway also ask number ( lajpat nagar subway ),0,0,0
sexual invit,0,0,0
poor street light,0,0,1
catcal pass comment two ghast thing delhi polic intern airport put friend appal protector law enforc airport make someon uncomfort,1,1,0
happen bus public transport broad daylight way colleg bus crowd enough space two peopl stand back back big bag em particular male stand next seat enough space behind noooooo start rub crotch shoulder subt first veri obvious made discomfort veri appar seem get shift insid seat think ladi besid knew go say word neither peopl behind bus conductor well neither first place frozen grip shock fear think better prepar make shit go someon tri feat never know,0,0,1
one night return hous partyi saw one boy tri touch one young girlbut girl afraid cryingwhen came near boy run sudden,0,0,0
peopl use stare veri inappropri way not tolerableit happen morn night,1,0,1
local colleg guy comment,1,0,0
make weird nois laugh girl,1,0,0
gone get ice cream notic men look drunk turn around start walk away made sexual invit afar,1,0,0
comment stare go back pg dure afternoon hour,1,1,0
friend cross road,1,1,0
incid took place th septemb afternoonin metro rohini east station two boy take pictur group girl sit opposit side,0,0,0
walk road two men bike pass lewd commentsit happen near vishvavidalaya metro station afternoon around pm,1,0,0
return home colleg boy comment whistl,1,0,0
sexual harras dure offic hour,1,1,0
return home workplac even drunk guy intent tri fall upon melat saw polic nearbi got scare went awayit happen near rohini west metro station,0,0,1
harass,1,0,0
catcal comment st bus stand dure morn afternoon,1,0,0
walk home school walk one boy came infront told love didnt knew guy ignor continu follow bodi help,1,0,0
guy misbehav us,1,1,1
teacher beat pupil,0,0,0
culprit stare group girl stare comment veri cheap way incid happen dure afternoon,1,1,0
shock whi incid report pink cityev teas veri common happen girl almost everi daywel let share incid friendw studi prestigi girl colleg jaipur stay pay guest cscheme jaipurtwo friend went market get someth sudden car came think boy caron tri drag friend car grope wrong placeluckili friend save shout dreadfulsh still cannt forget incidentthi not case kind incid keep happen,1,0,1
report made dadar street market exact locat bigg sale maitreen shop particip feel safe dadar street market due mani instanc stalk,0,0,0
comment take pictur dure even,1,0,0
saw man forc take girl not know help one around help either happen night thursday market,0,0,1
boy comment shout,1,0,0
touch breast back,0,0,1
boy touch one girl public bus,0,0,1
step mother chase girl hous night,0,0,0
head work notic someon follow decid chang rout shoout say prostitut didnt golden vagina,1,0,0
ogling/faci express gurgaon sohna,0,1,0
harass,0,1,0
biker,1,0,0
enjoy ice cream famili good time sudden felt someon grab hip first felt happen accident later go tortur twice scare death felt helpless scoundrel tall long hair dark complexion seem like drug addict recognis face still haunt,0,0,1
night chain phone snatch,0,0,0
group boy stand star us start move one comment friend,1,1,0
sit desk work manag come ask updat stare onli chest femalesalso make indec remark newli join member regard sare,1,1,0
men see,1,0,0
impregn school boy use call everi time harass,1,0,0
guy stood front door obstruct way caus harass,0,0,0
one tall boy almost regular teas come gate catcal sing song indec manner,1,0,0
neighbour forc drug girl hous lock sexual assault,0,0,0
ogl touch general compart dombivli train,0,1,1
group peopl teas girl mouth bad word,1,1,0
friend mine sexual harass bus though seat bus vacant old guy sat near keep touch intent want creat scene get bus though stop,1,1,1
man invit sexual pleasureit happen,0,0,0
way school old man come toward grope breast hurt lot veri scare ran school told friend laugh made fun kept shut ever sinc,0,0,1
follow drunk man,0,1,1
man came close wait friend road said would give big money went sex,0,0,0
indec environ area lot drunker,0,0,0
saw boy go bike comment girlit happen even,1,0,0
peopl comment take pictur daili busi,1,1,0
boy comment bad word,1,0,0
mumbai central station,0,0,0
walk around india gate guy constant click pictur person went delet pictur happen dure afternoon,0,0,0
old person touch friend bus even lot rush,1,0,1
walk man came start tell nowaday stop talk told go hous,0,0,0
molest murga chowk men snatch dupatta start touch inappropri broad daylight horrifi not safe even dure day,0,0,1
go buy kerosen man stop cover mouth tri touch breast,0,0,1
breast grope,0,0,1
person delhi metro take pictur girl cell phone,0,0,0
chase bike,0,0,1
ladi hostel areamani guy stand commentsand show intern part cross areaplz help make area free idiot touch walk bikeso pathet,0,0,1
walk even guy pass comment quot oye hoy kya lag rhi haiquot,1,0,0
dure afternoon travel metro lot touch general compart,0,0,1
stare touch,0,0,1
incid took place bus two guy click pictur happen dure afternoon,0,0,0
guy follow pass comment,1,0,0
happen night,1,0,0
stare,0,1,0
follow comment man walk street,1,0,0
noth happen yet aunt teas group boy go colleg,1,0,0
whistl pass valgur comment,1,0,0
show vulgal pictur fb mgs one relat,0,0,0
verbal sexual harass sexual invit touch etc,0,0,1
touch inappropri metro dure afternoon,0,0,1
chain snatch man near yrs old,0,0,0
dure colleg one eng teacher use touch hand back stare veri bad dont know got number stare call everydaydu switch phone sever month,0,0,1
boy snatch chain woman,0,0,0
come school met boy way call friend tell irrelev thing,0,0,0
man show privat place scooter act though noth happen,0,0,0
man touch bodi part play holi,1,0,1
men catcal comment im either way school way back home,1,0,0
conductor said veri bad comment insid bus,1,0,0
onc go back home guy star kept comment ( busesdhaula kuan ),1,0,0
buddh bazaar shop man whistl walk side give wrong express,0,1,0
indec behaviour,0,0,0
public transport touch grope happen time stupid person present everywher delhi,0,0,1
group guy bike pass comment girlsit happen even,1,0,0
friend mine rape plan group boy date onc date boyfriendon way never knew plan boy came took field rape went unconsci,0,0,0
incid happen foota road vika nagar phase men molest friend street near hous,0,0,1
tap boy came pour water found year old girl wait fetch water grab hand drag away,0,0,1
car park particular scari public space dark dusk not pleasant would avoid,0,0,0
teacher use assault told mother ask not go tuition,0,0,0
cheap comment whistl board metro morn,1,1,0
tuition teacher use touch chest use talk sex show pornograph video,1,0,1
ogl facial express comment,1,1,0
comment regular basi near club gym,1,1,0
guy wistl friend way,1,0,0
walk aunt place saw group boy call come refus one walk touch breast want react start insult,0,0,1
metro pass cheap comment follow tri take picturesit happen rajiv chowk metro station afternoon,1,0,0
go home time group boy bull take pictur girl boy girl time girl went home,0,1,0
physic touch privat part even time crowd street newroad,1,0,1
man felt friend hand genit,0,0,1
public vehicl one boy touch bodi,0,0,1
call us local name like chinki,1,0,0
yester even wife com vastrapur nandan baugh way one guy motorcycl catcal comment pmsinc strech bopal applewood veri isolatedrequest author tri patrol road mani ladi go work come home late till,1,0,0
boy alway harrass use return home colleg,1,1,0
go home uncl pass hit front move ahead,0,0,1
